Comment,Designator,Footprint,LCSC,Quantity
FerriteBead,"FB1,FB2",0402ferritebead,C1002,2
100nF,"C2,C3",CAPC1005X55N,C1525,2
220pF,"C7,C8",RESC1005X40N,C1530,2
ULN2003F12FN-7,U5,U-DFN3030-10_DIO,C155522,1
22uF,"C1,C4,C5",RESC1005X40N,C22367823,3
100Ω,R1,RESC1005X40N,C25076,1
S02B-PASK-2,"J1,J6,J7",CONN2_S02B-PASK-2_JST,C265094,3
S04B-PASK-2_LF__SN_,"P1,P2",JST_S04B-PASK-2,C265096,2
10uF,C6,RESC1005X40N,C307415,1
DZ127S-22-06-55,U6,HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5-1,C5160759,1
AMS1117-3.3_C347222,U2,SOT229P700X180-4N,C6186,1
ESP32-WROOM-32E(8MB),U1,ESP32-WROOM-32E,C701341,1
0805G (Green),LED1,LED_KP-1608SURCK,C84256,1
MAX98357AETE_T,U3,QFN50P300X300X80-17N,C910544,1
