Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,RESC1005X40N,146.95,-95.45,180.0,top
C2,100nF,CAPC1005X55N,142.775,-105.4,90.0,top
C3,100nF,CAPC1005X55N,185.925,-90.8,90.0,top
C4,22uF,RESC1005X40N,142.9,-95.025,-90.0,top
C5,22uF,RESC1005X40N,144.96,-95.45,0.0,top
C6,10uF,RESC1005X40N,171.325,-99.65,180.0,top
C7,220pF,RESC1005X40N,174.225,-104.125,-90.0,top
C8,220pF,RESC1005X40N,175.375,-104.125,-90.0,top
C9,0.1uF,C_0402_1005Metric,177.075,-90.55,180.0,top
FB1,FerriteBead,0402ferritebead,173.925,-99.375,-90.0,top
FB2,FerriteBead,0402ferritebead,175.125,-99.4,-90.0,top
J1,S02B-PASK-2,CONN2_S02B-PASK-2_JST,138.4,-108.674999,90.0,top
J6,S02B-PASK-2,CONN2_S02B-PASK-2_JST,138.370301,-91.245099,90.0,top
J7,S02B-PASK-2,CONN2_S02B-PASK-2_JST,179.729699,-108.6549,-90.0,top
LED1,0805G (Green),LED_KP-1608SURCK,150.075,-109.65,-90.0,top
P1,S04B-PASK-2_LF__SN_,JST_S04B-PASK-2,137.402,-100.0,90.0,top
P2,S04B-PASK-2_LF__SN_,JST_S04B-PASK-2,180.698,-99.975,-90.0,top
R1,100Ω,RESC1005X40N,148.6,-94.975,90.0,top
R2,10k,R_0402_1005Metric,177.05,-91.525,0.0,top
U1,ESP32-WROOM-32E(8MB),ESP32-WROOM-32E,159.1,-98.27,0.0,top
U2,AMS1117-3.3_C347222,SOT229P700X180-4N,145.7,-100.295,-90.0,top
U3,MAX98357AETE_T,QFN50P300X300X80-17N,171.1,-96.975,0.0,top
U5,ULN2003F12FN-7,U-DFN3030-10_DIO,171.15,-102.05,0.0,top
U6,DZ127S-22-06-55,HDR-SMD_6P-P1.27-V-M-R2-C3-S1.27-LS5.5-1,181.975,-91.575,-90.0,top
