"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","22uF","","22uF capacitor:CAPC1608X90N","1",""
"C2,C3","100nF","","100 nF Capacitor:CAPC1005X55N","2",""
"C4,C5,C6","10uF","-- mixed values --","10 uF capacitor:CAPC1608X90N","3",""
"C7,C8","220pF","~","220pF capacitor:CAPC1005X55N","2",""
"FB1,FB2","FerriteBead","~","ferrite:0402ferritebead","2",""
"J1,J6,J7","S02B-PASK-2","S02B-PASK-2","footprints:CONN2_S02B-PASK-2_JST","3",""
"J2","20021221-00006T4LF","","dc3-6p:dc3-6p","1",""
"LED1","0805G (Green)","","KP-1608SURCK:LED_KP-1608SURCK","1",""
"P1,P2","S04B-PASK-2_LF__SN_","","S04B-PASK-2_LF__SN_:JST_S04B-PASK-2","2",""
"R1","5.1kΩ","","5-1-ohm-resistor:RES_ERJ2RKF5101X","1",""
"U1","ESP32-WROOM-32E(8MB)","","esp32:ESP32-WROOM-32E","1",""
"U2","AMS1117-3.3_C347222","","AMS1117-3.3:SOT229P700X180-4N","1",""
"U4","MAX98357AEWL_T","","MAX98357AEWL_T:BGA9N40P3X3_134X143X69N","1",""
"U5","ULN2003F12FN-7","ULN2003F12FN-7","ULN2003:U-DFN3030-10_DIO","1",""
