Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","CAPC1608X90N",143.800000,-89.545000,0.000000,top
"C2","100nF","CAPC1005X55N",146.500000,-89.545000,0.000000,top
"C3","100nF","CAPC1005X55N",172.500000,-105.100000,0.000000,top
"C4","10uF","CAPC1608X90N",144.100000,-99.800000,180.000000,top
"C5","10uF","CAPC1608X90N",147.600000,-99.800000,0.000000,top
"C6","10uF","CAPC1608X90N",143.800000,-103.200000,0.000000,top
"C7","220pF","CAPC1005X55N",148.100000,-107.800000,0.000000,top
"C8","220pF","CAPC1005X55N",148.100000,-106.500000,0.000000,top
"FB1","FerriteBead","0402ferritebead",146.100000,-107.800000,0.000000,top
"FB2","FerriteBead","0402ferritebead",146.100000,-106.500000,0.000000,top
"J1","S02B-PASK-2","CONN2_S02B-PASK-2_JST",138.445301,-109.400000,90.000000,top
"J2","20021221-00006T4LF","dc3-6p",177.430000,-102.250000,0.000000,top
"J6","S02B-PASK-2","CONN2_S02B-PASK-2_JST",138.400000,-92.300000,90.000000,top
"J7","S02B-PASK-2","CONN2_S02B-PASK-2_JST",172.954699,-108.104900,-90.000000,top
"LED1","0805G (Green)","LED_KP-1608SURCK",145.075000,-101.745000,180.000000,top
"P1","S04B-PASK-2_LF__SN_","JST_S04B-PASK-2",138.400000,-99.900000,90.000000,top
"P2","S04B-PASK-2_LF__SN_","JST_S04B-PASK-2",172.825000,-93.500000,-90.000000,top
"R1","5.1kΩ","RES_ERJ2RKF5101X",147.787000,-101.845000,0.000000,top
"U1","ESP32-WROOM-32E(8MB)","ESP32-WROOM-32E",159.100000,-96.090000,0.000000,top
"U2","AMS1117-3.3_C347222","SOT229P700X180-4N",145.700000,-94.645000,-90.000000,top
"U4","MAX98357AEWL_T","BGA9N40P3X3_134X143X69N",147.300000,-104.200000,180.000000,top
"U5","ULN2003F12FN-7","U-DFN3030-10_DIO",171.500000,-101.400000,0.000000,top
